,datetime,q
0,1/3/78,0.951
1,1/4/78,0.879
2,1/5/78,0.764
3,1/6/78,0.694
4,1/7/78,0.642
5,1/8/78,0.62
6,1/9/78,0.573
7,1/10/78,0.512
8,1/11/78,0.471
9,1/12/78,0.471
10,1/13/78,0.45
11,1/14/78,0.432
12,1/15/78,0.432
13,1/16/78,0.453
14,1/17/78,0.457
15,1/18/78,0.454
16,1/19/78,0.382
17,1/20/78,0.357
18,1/21/78,0.346
19,1/22/78,0.331
20,1/23/78,0.321
21,1/24/78,3.203
22,1/25/78,2.944
23,1/26/78,1.128
24,1/27/78,0.884
25,1/28/78,0.738
26,1/29/78,0.629
27,1/30/78,0.601
28,1/31/78,0.599
29,2/1/78,0.617
30,2/2/78,0.64
31,2/3/78,0.672
32,2/4/78,0.679
33,2/5/78,0.679
34,2/6/78,0.679
35,2/7/78,0.679
36,2/8/78,0.643
37,2/9/78,0.617
38,2/10/78,0.617
39,2/11/78,0.617
40,2/12/78,0.617
41,2/13/78,0.594
42,2/14/78,0.526
43,2/15/78,0.516
44,2/16/78,3.818
45,2/17/78,17.701
46,2/18/78,10.443
47,2/19/78,5.158
48,2/20/78,6.512
49,2/21/78,3.484
50,2/22/78,2.285
51,2/23/78,3.215
52,2/24/78,11.091
53,2/25/78,9.469
54,2/26/78,7.199
55,2/27/78,5.208
56,2/28/78,3.671
57,3/1/78,3.369
58,3/2/78,3.245
59,3/3/78,3.183
60,3/4/78,3.348
61,3/5/78,3.522
62,3/6/78,2.325
63,3/7/78,1.683
64,3/8/78,1.444
65,3/9/78,1.429
66,3/10/78,1.569
67,3/11/78,1.92
68,3/12/78,4.45
69,3/13/78,6.21
70,3/14/78,3.564
71,3/15/78,2.321
72,3/16/78,2.088
73,3/17/78,1.9
74,3/18/78,1.401
75,3/19/78,1.091
76,3/20/78,15.258
77,3/21/78,19.989
78,3/22/78,3.681
79,3/23/78,3.139
80,3/24/78,2.139
81,3/25/78,1.636
82,3/26/78,2.48
83,3/27/78,3.895
84,3/28/78,6.654
85,3/29/78,7.426
86,3/30/78,8.175
87,3/31/78,6.951
88,4/1/78,6.94
89,4/2/78,7.381
90,4/3/78,7.588
91,4/4/78,7.167
92,4/5/78,5.733
93,4/6/78,4.65
94,4/7/78,3.883
95,4/8/78,4.155
96,4/9/78,6.763
97,4/10/78,7.411
98,4/11/78,5.17
99,4/12/78,2.559
100,4/13/78,1.993
101,4/14/78,1.563
102,4/15/78,1.345
103,4/16/78,1.126
104,4/17/78,1.039
105,4/18/78,1.355
106,4/19/78,1.879
107,4/20/78,5.963
108,4/21/78,9.143
109,4/22/78,4.5
110,4/23/78,6.023
111,4/24/78,6.343
112,4/25/78,6.841
113,4/26/78,10.343
114,4/27/78,12.319
115,4/28/78,12.184
116,4/29/78,12.154
117,4/30/78,12.644
118,5/1/78,12.822
119,5/2/78,10.853
120,5/3/78,11.86
121,5/4/78,16.686
122,5/5/78,17.921
123,5/6/78,13.031
124,5/7/78,11.585
125,5/8/78,10.887
126,5/9/78,11.505
127,5/10/78,12.023
128,5/11/78,6.833
129,5/12/78,14.613
130,5/13/78,12.217
131,5/14/78,7.504
132,5/15/78,9.924
133,5/16/78,9.013
134,5/17/78,8.496
135,5/18/78,19.784
136,5/19/78,15.687
137,5/20/78,11.767
138,5/21/78,10.295
139,5/22/78,44.451
140,5/23/78,51.133
141,5/24/78,19.341
142,5/25/78,8.354
143,5/26/78,12.719
144,5/27/78,10.127
145,5/28/78,10.216
146,5/29/78,10.619
147,5/30/78,11.076
148,5/31/78,9.311
149,6/1/78,7.748
150,6/2/78,8.198
151,6/3/78,9.458
152,6/4/78,8.579
153,6/5/78,6.961
154,6/6/78,6.622
155,6/7/78,5.325
156,6/8/78,19.363
157,6/9/78,15.34
158,6/10/78,38.073
159,6/11/78,5.323
160,6/12/78,2.8
161,6/13/78,4.689
162,6/14/78,1.978
163,6/15/78,8.721
164,6/16/78,13.741
165,6/17/78,14.19
166,6/18/78,3.808
167,6/19/78,4.534
168,6/20/78,2.435
169,6/21/78,1.43
170,6/22/78,1.121
171,6/23/78,12.176
172,6/24/78,21.995
173,6/25/78,13.932
174,6/26/78,8.754
175,6/27/78,13.845
176,6/28/78,7.671
177,6/29/78,2.555
178,6/30/78,4.648
179,7/1/78,11.162
180,7/2/78,4.458
181,7/3/78,1.633
182,7/4/78,5.707
183,7/5/78,11.526
184,7/6/78,14.818
185,7/7/78,18.435
186,7/8/78,5.396
187,7/9/78,17.657
188,7/10/78,9.849
189,7/11/78,7.778
190,7/12/78,7.126
191,7/13/78,3.264
192,7/14/78,2.445
193,7/15/78,1.803
194,7/16/78,1.103
195,7/17/78,0.676
196,7/18/78,19.883
197,7/19/78,29.688
198,7/20/78,3.728
199,7/21/78,10.674
200,7/22/78,3.214
201,7/23/78,1.33
202,7/24/78,0.91
203,7/25/78,0.72
204,7/26/78,0.65
205,7/27/78,2.242
206,7/28/78,0.622
207,7/29/78,0.531
208,7/30/78,0.448
209,7/31/78,0.348
210,8/1/78,0.288
211,8/2/78,0.249
212,8/3/78,0.276
213,8/4/78,0.787
214,8/5/78,0.389
215,8/6/78,0.703
216,8/7/78,78.322
217,8/8/78,80.661
218,8/9/78,5.714
219,8/10/78,2.727
220,8/11/78,2.012
221,8/12/78,2.012
222,8/13/78,4.153
223,8/14/78,1.662
224,8/15/78,0.77
225,8/16/78,3.818
226,8/17/78,2.166
227,8/18/78,0.907
228,8/19/78,0.666
229,8/20/78,0.566
230,8/21/78,0.463
231,8/22/78,0.412
232,8/23/78,0.349
233,8/24/78,0.321
234,8/25/78,0.321
235,8/26/78,0.321
236,8/27/78,0.267
237,8/28/78,0.21
238,8/29/78,0.21
239,8/30/78,5.039
240,8/31/78,14.634
241,9/1/78,8.396
242,9/2/78,4.312
243,9/3/78,3.161
244,9/4/78,0.757
245,9/5/78,0.613
246,9/6/78,6.104
247,9/7/78,6.307
248,9/8/78,9.343
249,9/9/78,7.626
250,9/10/78,8.387
251,9/11/78,7.756
252,9/12/78,27.585
253,9/13/78,3.357
254,9/14/78,1.384
255,9/15/78,0.923
256,9/16/78,0.72
257,9/17/78,0.643
258,9/18/78,0.554
259,9/19/78,0.481
260,9/20/78,0.402
261,9/21/78,0.298
262,9/22/78,0.27
263,9/23/78,0.264
264,9/24/78,0.263
265,9/25/78,0.225
266,9/26/78,0.211
267,9/27/78,0.965
268,9/28/78,13.368
269,9/29/78,11.425
270,9/30/78,7.184
271,10/1/78,2.851
272,10/2/78,1.798
273,10/3/78,1.544
274,10/4/78,14.479
275,10/5/78,7.972
276,10/6/78,4.243
277,10/7/78,2.459
278,10/8/78,1.473
279,10/9/78,1.029
280,10/10/78,0.78
281,10/11/78,0.624
282,10/12/78,0.491
283,10/13/78,0.457
284,10/14/78,0.424
285,10/15/78,0.336
286,10/16/78,0.296
287,10/17/78,10.774
288,10/18/78,4.78
289,10/19/78,4.048
290,10/20/78,3.892
291,10/21/78,3.232
292,10/22/78,2.795
293,10/23/78,7.326
294,10/24/78,2.049
295,10/25/78,1.261
296,10/26/78,10.895
297,10/27/78,6.062
298,10/28/78,1.865
299,10/29/78,1.192
300,10/30/78,0.945
301,10/31/78,0.682
302,11/1/78,0.532
303,11/2/78,0.494
304,11/3/78,0.426
305,11/4/78,0.33
306,11/5/78,0.29
307,11/6/78,0.242
308,11/7/78,0.235
309,11/8/78,0.206
310,11/9/78,0.183
311,11/10/78,0.179
312,11/11/78,0.185
313,11/12/78,0.185
314,11/13/78,0.185
315,11/14/78,0.185
316,11/15/78,0.185
317,11/16/78,0.185
318,11/17/78,0.185
319,11/18/78,0.175
320,11/19/78,0.173
321,11/20/78,0.173
322,11/21/78,0.173
323,11/22/78,0.173
324,11/23/78,0.173
325,11/24/78,0.173
326,11/25/78,0.173
327,11/26/78,0.173
328,11/27/78,0.173
329,11/28/78,0.163
330,11/29/78,0.16
331,11/30/78,0.16
332,12/1/78,0.16
333,12/2/78,0.16
334,12/3/78,0.16
335,12/4/78,0.16
336,12/5/78,0.16
337,12/6/78,0.15
338,12/7/78,0.148
339,12/8/78,6.366
340,12/9/78,31.702
341,12/10/78,3.34
342,12/11/78,3.759
343,12/12/78,16.514
344,12/13/78,12.131
345,12/14/78,2.593
346,12/15/78,1.68
347,12/16/78,1.362
348,12/17/78,1.247
349,12/18/78,0.971
350,12/19/78,0.703
351,12/20/78,0.556
352,12/21/78,0.432
353,12/22/78,0.455
354,12/23/78,0.457
355,12/24/78,0.457
356,12/25/78,0.457
357,12/26/78,0.457
358,12/27/78,0.45
359,12/28/78,1.474
360,12/29/78,11.239
361,12/30/78,7.039
362,12/31/78,10.908
363,1/1/79,2.521
364,1/2/79,1.743
365,1/3/79,1.25
366,1/4/79,0.877
367,1/5/79,0.645
368,1/6/79,0.608
369,1/7/79,0.503
370,1/8/79,0.45
371,1/9/79,0.432
372,1/10/79,0.415
373,1/11/79,0.362
374,1/12/79,0.346
375,1/13/79,0.346
376,1/14/79,0.365
377,1/15/79,0.362
378,1/16/79,0.346
379,1/17/79,0.303
380,1/18/79,0.272
381,1/19/79,0.272
382,1/20/79,2.208
383,1/21/79,2.246
384,1/22/79,1.18
385,1/23/79,1.086
386,1/24/79,1.548
387,1/25/79,1.09
388,1/26/79,0.848
389,1/27/79,0.76
390,1/28/79,1.517
391,1/29/79,1.333
392,1/30/79,0.972
393,1/31/79,0.74
394,2/1/79,0.629
395,2/2/79,4.951
396,2/3/79,9.688
397,2/4/79,3.34
398,2/5/79,5.515
399,2/6/79,8.213
400,2/7/79,2.616
401,2/8/79,5.221
402,2/9/79,5.023
403,2/10/79,14.539
404,2/11/79,6.358
405,2/12/79,5.39
406,2/13/79,3.613
407,2/14/79,2.382
408,2/15/79,1.585
409,2/16/79,1.237
410,2/17/79,1.037
411,2/18/79,0.818
412,2/19/79,0.727
413,2/20/79,0.679
414,2/21/79,0.66
415,2/22/79,0.573
416,2/23/79,0.518
417,2/24/79,0.481
418,2/25/79,0.268
419,2/26/79,0.224
420,2/27/79,0.226
421,2/28/79,1.005
422,3/1/79,0.357
423,3/2/79,0.287
424,3/3/79,0.297
425,3/4/79,0.544
426,3/5/79,2.396
427,3/6/79,3.968
428,3/7/79,2.463
429,3/8/79,1.292
430,3/9/79,1.056
431,3/10/79,1.425
432,3/11/79,51.769
433,3/12/79,71.145
434,3/13/79,25.571
435,3/14/79,7.199
436,3/15/79,8.051
