,date,q_mm_per_day
0,2011-11-04,0.217363477
1,2011-11-05,0.218566183
2,2011-11-06,0.217932879
3,2011-11-07,0.209576075
4,2011-11-08,0.20704806
5,2011-11-09,0.189451886
6,2011-11-10,0.192201525
7,2011-11-11,0.202755769
8,2011-11-12,0.210781918
9,2011-11-13,0.214514099
10,2011-11-14,0.216681604
11,2011-11-15,0.225008184
12,2011-11-16,0.191973287
13,2011-11-17,0.197544989
14,2011-11-18,0.240006732
15,2011-11-19,0.208343577
16,2011-11-20,0.20288232
17,2011-11-21,0.185758908
18,2011-11-22,0.224279408
19,2011-11-23,0.218670866
20,2011-11-24,0.215852167
21,2011-11-25,0.203577045
22,2011-11-26,0.191212806
23,2011-11-27,0.1657484
24,2011-11-28,0.313433907
25,2011-11-29,0.325133178
26,2011-11-30,0.311642228
27,2011-12-01,0.290154511
28,2011-12-02,0.260543778
29,2011-12-03,
30,2011-12-04,
31,2011-12-05,
32,2011-12-06,
33,2011-12-07,
34,2011-12-08,
35,2011-12-09,
36,2011-12-10,
37,2011-12-11,
38,2011-12-12,
39,2011-12-13,
40,2011-12-14,
41,2011-12-15,
42,2011-12-16,
43,2011-12-17,
44,2011-12-18,
45,2011-12-19,
46,2011-12-20,
47,2011-12-21,
48,2011-12-22,
49,2011-12-23,
50,2011-12-24,
51,2011-12-25,
52,2011-12-26,
53,2011-12-27,
54,2011-12-28,0.211095878
55,2011-12-29,0.222882637
56,2011-12-30,0.244747841
57,2011-12-31,0.240292035
58,2012-01-01,0.205334812
59,2012-01-02,0.187995579
60,2012-01-03,0.176960628
61,2012-01-04,0.173554038
62,2012-01-05,
63,2012-01-06,
64,2012-01-07,
65,2012-01-08,
66,2012-01-09,
67,2012-01-10,
68,2012-01-11,
69,2012-01-12,
70,2012-01-13,
71,2012-01-14,
72,2012-01-15,
73,2012-01-16,
74,2012-01-17,
75,2012-01-18,
76,2012-01-19,
77,2012-01-20,
78,2012-01-21,
79,2012-01-22,0.185566326
80,2012-01-23,0.178172572
81,2012-01-24,0.157389673
82,2012-01-25,0.160428891
83,2012-01-26,0.189118675
84,2012-01-27,
85,2012-01-28,0.12943987
86,2012-01-29,0.147181736
87,2012-01-30,0.184710496
88,2012-01-31,0.19364563
89,2012-02-01,0.190457307
90,2012-02-02,0.194766921
91,2012-02-03,
92,2012-02-04,
93,2012-02-05,
94,2012-02-06,
95,2012-02-07,0.158077966
96,2012-02-08,0.160895794
97,2012-02-09,0.212053563
98,2012-02-10,0.214396778
99,2012-02-11,0.202853548
100,2012-02-12,0.197499438
101,2012-02-13,0.196473645
102,2012-02-14,0.191067199
103,2012-02-15,
104,2012-02-16,0.17256482
105,2012-02-17,0.177641852
106,2012-02-18,0.191128936
107,2012-02-19,
108,2012-02-20,0.169221683
109,2012-02-21,0.179375552
110,2012-02-22,0.210336895
111,2012-02-23,0.246249732
112,2012-02-24,0.184014174
113,2012-02-25,0.191292253
114,2012-02-26,0.195671595
115,2012-02-27,
116,2012-02-28,0.178248463
117,2012-02-29,0.18124826
118,2012-03-01,0.191506021
119,2012-03-02,0.183879458
120,2012-03-03,0.186066504
121,2012-03-04,0.187400152
122,2012-03-05,0.19456336
123,2012-03-06,0.29453975
124,2012-03-07,
125,2012-03-08,0.187127364
126,2012-03-09,0.197509084
127,2012-03-10,0.207745829
128,2012-03-11,0.227834841
129,2012-03-12,0.237447721
130,2012-03-13,0.228177219
131,2012-03-14,0.231227212
132,2012-03-15,0.221198349
133,2012-03-16,0.314193932
134,2012-03-17,0.405835059
135,2012-03-18,0.32365654
136,2012-03-19,0.277555979
137,2012-03-20,0.252823306
138,2012-03-21,0.242657662
139,2012-03-22,0.275467599
140,2012-03-23,0.297515506
141,2012-03-24,0.314338068
142,2012-03-25,0.282107435
143,2012-03-26,0.280907923
144,2012-03-27,0.329357216
145,2012-03-28,0.326058049
146,2012-03-29,0.336606164
147,2012-03-30,0.29514887
148,2012-03-31,0.163515394
149,2012-04-01,0.262296399
150,2012-04-02,0.304796359
151,2012-04-03,0.295202647
152,2012-04-04,0.312274802
153,2012-04-05,0.335325358
154,2012-04-06,0.321260838
155,2012-04-07,0.289303445
156,2012-04-08,0.273842758
157,2012-04-09,0.249652984
158,2012-04-10,0.150497928
159,2012-04-11,0.080089554
160,2012-04-12,0.2283741
161,2012-04-13,0.317601492
162,2012-04-14,0.296322768
163,2012-04-15,0.333469328
164,2012-04-16,0.344855195
165,2012-04-17,0.340157344
166,2012-04-18,0.314293873
167,2012-04-19,0.360234168
168,2012-04-20,0.198934931
169,2012-04-21,0.176193038
170,2012-04-22,0.254441162
171,2012-04-23,0.378670068
172,2012-04-24,0.178942498
173,2012-04-25,0.526923679
174,2012-04-26,0.394241149
175,2012-04-27,1.21930102
176,2012-04-28,1.166799327
177,2012-04-29,0.88681851
178,2012-04-30,0.694017416
179,2012-05-01,0.714796101
180,2012-05-02,0.711908213
181,2012-05-03,0.612767706
182,2012-05-04,0.595565221
183,2012-05-05,0.560810557
184,2012-05-06,0.481142565
185,2012-05-07,0.396481263
186,2012-05-08,0.331747338
187,2012-05-09,0.417414455
188,2012-05-10,0.742426856
189,2012-05-11,0.688578967
190,2012-05-12,0.612316393
